Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,2,0,0,11,3,3,40,30,22,0,0,0,136,11,13,45.8,Matches,5f09991f
2,Tammy Abraham,eng ENG,FW,Chelsea,22,1997,11.6,0,0,0,22,12,4,6,5,5,1,0,0,28,38,28,57.6,Matches,f586779e
3,Che Adams,sct SCO,FW,Southampton,24,1996,29.6,1,0,0,30,55,19,6,4,16,0,0,0,84,53,133,28.5,Matches,f2bf1b0f
4,Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,1,0,0,16,6,2,2,42,19,0,1,1,143,82,38,68.3,Matches,c81d773d
5,Adrián,es ESP,GK,Liverpool,33,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Matches,f76e6b4e
6,Sergio Agüero,ar ARG,FW,Manchester City,32,1988,6.2,0,0,0,2,7,1,1,2,1,0,0,0,12,2,4,33.3,Matches,4d034881
7,Ola Aina,ng NGA,DF,Fulham,23,1996,29.6,3,0,0,32,25,2,52,45,20,0,0,0,147,31,36,46.3,Matches,246d153b
8,Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,15.6,1,0,0,15,19,1,61,15,16,0,1,0,86,5,23,17.9,Matches,9b398aea
9,Semi Ajayi,ng NGA,DF,West Brom,26,1993,30.9,3,1,0,28,4,1,7,42,14,0,2,0,161,74,54,57.8,Matches,d6192210
10,Nathan Aké,nl NED,DF,Manchester City,25,1995,8.9,4,0,0,8,4,0,1,9,5,0,1,0,30,24,17,58.5,Matches,eaeca114
11,Marc Albrighton,eng ENG,DFFW,Leicester City,30,1989,19.4,2,0,0,9,19,4,118,17,19,0,0,0,138,10,36,21.7,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,29,1991,20.6,4,0,0,48,25,0,7,30,36,0,1,0,153,31,31,50.0,Matches,77e84962
13,Toby Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,2,0,0,17,3,0,1,10,22,0,1,1,117,45,35,56.3,Matches,f7d50789
14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,8fa8f8d2
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,2,0,0,21,9,5,297,49,33,0,1,0,258,8,23,25.8,Matches,cd1acf9d
16,Ezgjan Alioski,mk MKD,DFMF,Leeds United,28,1992,27.3,7,0,0,39,44,6,62,23,31,0,2,0,146,39,44,47.0,Matches,1a7fcf39
17,Alisson,br BRA,GK,Liverpool,27,1992,33.0,1,0,0,1,6,0,0,2,2,0,1,0,74,12,1,92.3,Matches,7a2e46a8
18,Allan,br BRA,MF,Everton,29,1991,22.8,6,0,0,37,30,0,4,19,45,0,0,0,187,4,11,26.7,Matches,cc700722
19,Dele Alli,eng ENG,MF,Tottenham,24,1996,6.9,0,0,0,10,12,1,10,7,11,0,0,0,50,8,11,42.1,Matches,cea4ee8f
20,Miguel Almirón,py PAR,MFFW,Newcastle Utd,26,1994,27.0,3,0,0,18,39,6,39,25,29,0,0,0,163,8,17,32.0,Matches,862a1c15
21,Marcos Alonso,es ESP,DF,Chelsea,29,1990,10.7,2,0,0,13,12,2,24,12,3,0,0,0,59,23,15,60.5,Matches,f4290206
22,Steven Alzate,co COL,MF,Brighton,21,1998,10.0,2,0,0,20,6,1,3,8,8,0,0,0,46,7,12,36.8,Matches,ad1f61f3
23,Daniel Amartey,gh GHA,DF,Leicester City,25,1994,8.0,3,0,0,3,1,0,1,12,7,0,0,0,60,19,16,54.3,Matches,1a4ef233
24,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,3,0,0,25,25,1,19,49,36,0,1,1,114,52,29,64.2,Matches,10b9fa99
25,Joachim Andersen,dk DEN,DF,Fulham,24,1996,30.3,7,1,0,39,15,1,12,44,19,0,2,0,172,98,44,69.0,Matches,e34fc66d
26,Elliot Anderson,sct SCO,MF,Newcastle Utd,17,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,de31038e
27,Felipe Anderson,br BRA,FWMF,West Ham,27,1993,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches,9f1893b9
28,Michail Antonio,jm JAM,FW,West Ham,30,1990,21.9,3,0,0,29,40,15,31,7,4,1,0,0,51,71,88,44.7,Matches,ac05f970
