Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,1164,959,192,31,0,4,40,159,2,0,2,0,906,13,26,Matches,5f09991f
2,Tammy Abraham,eng ENG,FW,Chelsea,22,1997,11.6,211,195,16,2,0,0,6,0,0,0,0,0,149,0,9,Matches,f586779e
3,Che Adams,sct SCO,FW,Southampton,24,1996,29.6,622,615,2,1,7,3,6,1,0,0,0,0,431,5,19,Matches,f2bf1b0f
4,Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,1918,1872,42,35,0,8,2,7,0,0,0,0,1647,4,11,Matches,c81d773d
5,Adrián,es ESP,GK,Liverpool,33,1987,3.0,100,70,29,7,0,0,0,0,0,0,0,0,78,1,0,Matches,f76e6b4e
6,Sergio Agüero,ar ARG,FW,Manchester City,32,1988,6.2,173,163,10,0,0,0,1,1,0,0,0,0,140,0,7,Matches,4d034881
7,Ola Aina,ng NGA,DF,Fulham,23,1996,29.6,1769,1486,282,28,0,13,52,254,0,0,0,0,1352,1,34,Matches,246d153b
8,Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,15.6,805,675,129,6,0,3,61,116,7,1,6,0,662,1,20,Matches,9b398aea
9,Semi Ajayi,ng NGA,DF,West Brom,26,1993,30.9,999,931,61,13,0,10,7,48,0,0,0,0,719,7,7,Matches,d6192210
10,Nathan Aké,nl NED,DF,Manchester City,25,1995,8.9,763,741,22,11,0,0,1,11,0,0,0,0,709,0,5,Matches,eaeca114
11,Marc Albrighton,eng ENG,DFFW,Leicester City,30,1989,19.4,933,830,97,8,1,9,118,60,29,6,15,0,627,6,53,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,29,1991,20.6,1735,1686,44,30,3,19,7,3,0,0,0,0,1545,5,12,Matches,77e84962
13,Toby Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,1453,1377,74,61,2,16,1,13,0,0,0,0,1199,2,9,Matches,f7d50789
14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,0.2,11,8,3,2,0,0,0,0,0,0,0,0,7,0,0,Matches,8fa8f8d2
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,3015,2516,488,56,6,55,297,326,106,16,61,2,2245,11,52,Matches,cd1acf9d
16,Ezgjan Alioski,mk MKD,DFMF,Leeds United,28,1992,27.3,1670,1410,255,29,1,7,62,226,0,0,0,0,1321,5,44,Matches,1a7fcf39
17,Alisson,br BRA,GK,Liverpool,27,1992,33.0,1157,919,234,61,0,2,0,0,0,0,0,0,1000,4,0,Matches,7a2e46a8
18,Allan,br BRA,MF,Everton,29,1991,22.8,1068,1029,35,22,1,4,4,5,0,0,0,0,908,4,18,Matches,cc700722
19,Dele Alli,eng ENG,MF,Tottenham,24,1996,6.9,345,316,27,8,1,1,10,3,0,0,0,0,275,2,12,Matches,cea4ee8f
20,Miguel Almirón,py PAR,MFFW,Newcastle Utd,26,1994,27.0,895,866,26,6,3,5,39,3,5,0,0,0,708,3,33,Matches,862a1c15
21,Marcos Alonso,es ESP,DF,Chelsea,29,1990,10.7,610,517,90,11,0,3,24,75,4,0,4,0,493,3,21,Matches,f4290206
22,Steven Alzate,co COL,MF,Brighton,21,1998,10.0,449,438,11,1,0,1,3,9,0,0,0,0,403,0,5,Matches,ad1f61f3
